01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
2009,Anadia,Município,Básico - 1º ciclo,,,,,292.2
2009,Anadia,Município,Básico - 2º ciclo,,,,,221.5
2009,Anadia,Município,Básico - 3º ciclo,,,,,176.5
2009,Anadia,Município,Nenhum,,,,,68.0
2009,Anadia,Município,Secundário,,,,,201.5
2009,Anadia,Município,Superior,,,,,124.3
2009,Anadia,Município,Total,,,,,1083.9
2009,Angra do Heroísmo,Município,Básico - 1º ciclo,,,,x,
2009,Angra do Heroísmo,Município,Básico - 2º ciclo,,,,x,
2009,Angra do Heroísmo,Município,Básico - 3º ciclo,,,,x,
2009,Angra do Heroísmo,Município,Nenhum,,,,x,
2009,Angra do Heroísmo,Município,Secundário,,,,x,
2009,Angra do Heroísmo,Município,Superior,,,,x,
2009,Angra do Heroísmo,Município,Total,,,,x,
2009,Ansião,Município,Básico - 1º ciclo,,,,,183.0
2009,Ansião,Município,Básico - 2º ciclo,,,,,70.7
2009,Ansião,Município,Básico - 3º ciclo,,,,,114.4
2009,Ansião,Município,Nenhum,,,,,28.8
2009,Ansião,Município,Secundário,,,,,92.2
2009,Ansião,Município,Superior,,,,,41.3
2009,Ansião,Município,Total,,,,,530.4
2009,Arcos de Valdevez,Município,Básico - 1º ciclo,,,,,186.7
2009,Arcos de Valdevez,Município,Básico - 2º ciclo,,,,,163.5
2009,Arcos de Valdevez,Município,Básico - 3º ciclo,,,,,202.8
2009,Arcos de Valdevez,Município,Nenhum,,,,,75.0
2009,Arcos de Valdevez,Município,Secundário,,,,,106.6
2009,Arcos de Valdevez,Município,Superior,,,,,56.3
2009,Arcos de Valdevez,Município,Total,,,,,790.9
2009,Arganil,Município,Básico - 1º ciclo,,,,,119.3
2009,Arganil,Município,Básico - 2º ciclo,,,,,55.2
2009,Arganil,Município,Básico - 3º ciclo,,,,,83.9
2009,Arganil,Município,Nenhum,,,,,40.3
2009,Arganil,Município,Secundário,,,,,65.2
2009,Arganil,Município,Superior,,,,,18.5
2009,Arganil,Município,Total,,,,,382.3
2009,Armamar,Município,Básico - 1º ciclo,,,,,99.8
2009,Armamar,Município,Básico - 2º ciclo,,,,,46.0
2009,Armamar,Município,Básico - 3º ciclo,,,,,43.1
2009,Armamar,Município,Nenhum,,,,,21.5
2009,Armamar,Município,Secundário,,,,,38.9
2009,Armamar,Município,Superior,,,,,15.6
2009,Armamar,Município,Total,,,,,264.9
2009,Arouca,Município,Básico - 1º ciclo,,,,,217.9
2009,Arouca,Município,Básico - 2º ciclo,,,,,165.8
2009,Arouca,Município,Básico - 3º ciclo,,,,,126.2
2009,Arouca,Município,Nenhum,,,,,44.3
2009,Arouca,Município,Secundário,,,,,102.8
2009,Arouca,Município,Superior,,,,,53.0
2009,Arouca,Município,Total,,,,,710.0
2009,Arraiolos,Município,Básico - 1º ciclo,,,,,63.3
2009,Arraiolos,Município,Básico - 2º ciclo,,,,,35.6
2009,Arraiolos,Município,Básico - 3º ciclo,,,,,47.6
2009,Arraiolos,Município,Nenhum,,,,,19.1
2009,Arraiolos,Município,Secundário,,,,,54.9
2009,Arraiolos,Município,Superior,,,,,16.6
2009,Arraiolos,Município,Total,,,,,237.0
2009,Arronches,Município,Básico - 1º ciclo,,,,,29.3
2009,Arronches,Município,Básico - 2º ciclo,,,,,26.5
2009,Arronches,Município,Básico - 3º ciclo,,,,,20.6
2009,Arronches,Município,Nenhum,,,,,3.4
2009,Arronches,Município,Secundário,,,,,16.3
2009,Arronches,Município,Superior,,,,,5.6
2009,Arronches,Município,Total,,,,,101.6
2009,Arruda dos Vinhos,Município,Básico - 1º ciclo,,,,,81.6
2009,Arruda dos Vinhos,Município,Básico - 2º ciclo,,,,,66.6
2009,Arruda dos Vinhos,Município,Básico - 3º ciclo,,,,,79.8
2009,Arruda dos Vinhos,Município,Nenhum,,,,,9.1
2009,Arruda dos Vinhos,Município,Secundário,,,,,81.6
